run_id,profile,pos_norm,T,P,C_eth,C_O2,C_EO
0,axial_center,0.0005002501250625313,430.0,999997.0678864606,2.0,6.0,0.0
0,axial_center,0.0015007503751875938,430.00897661609747,999991.2037128696,1.9975645006340748,5.996145228677683,0.0013806907101849056
0,axial_center,0.0025012506253126563,430.01795786575644,999985.3396462362,1.9951299555822986,5.99229190661428,0.0027608159470029637
0,axial_center,0.003501750875437719,430.0269572351093,999979.4756865496,1.99269641327611,5.988440179088786,0.004140375704486568
0,axial_center,0.004502251125562781,430.0359902619192,999973.6118339094,1.9902639667836075,5.984590328229422,0.005519371152453119
0,axial_center,0.005502751375687844,430.0450716337364,999967.7480886459,1.9878327230198105,5.980742680557908,0.006897804601711071
0,axial_center,0.006503251625812906,430.0542181892396,999961.8844513824,1.985402773890039,5.976897520712468,0.008275679621266421
0,axial_center,0.007503751875937968,430.0634442613762,999956.0209230095,1.9829742812769418,5.973055346707755,0.00965300115870362
0,axial_center,0.008504252126063032,430.0727282387656,999950.157504775,1.9805477313844502,5.96921762983584,0.011029774289661497
0,axial_center,0.009504752376188093,430.08195283326336,999944.2941988523,1.978124243604297,5.965387730050134,0.01240599973328979
0,axial_center,0.010505252626313155,430.09085585153457,999938.4310095503,1.9757056974686384,5.961571256537017,0.013781665738231074
0,axial_center,0.011505752876438218,430.09903721730535,999932.5679448443,1.9732945071014432,5.957775367170145,0.015156738520780857
0,axial_center,0.01250625312656328,430.10603669174236,999926.7050175074,1.9708930870827692,5.954007148775131,0.01653115533030168
0,axial_center,0.013506753376688344,430.1114518594803,999920.8422451649,1.9685032458594658,5.950271795467357,0.017904823687779906
0,axial_center,0.014507253626813406,430.1150419032621,999914.9796490602,1.96612577487107,5.946571392135844,0.019277627826228404
0,axial_center,0.015507753876938467,430.1167746040545,999909.1172519077,1.9637603759501046,5.942904725525658,0.02064944024300939
0,axial_center,0.01650825412706353,430.1168070746403,999903.2550755397,1.9614058939810448,5.939268014134231,0.022020134469359267
0,axial_center,0.01750875437718859,430.1154210146719,999897.3931390216,1.9590607064843946,5.935656102179891,0.023389595159253238
0,axial_center,0.018509254627313655,430.11294520346524,999891.5314576044,1.956723106929511,5.932063622010304,0.02475772307994033
0,axial_center,0.01950975487743872,430.1096919402892,999885.6700425247,1.95439157633935,5.92848580704504,0.026124434365035996
0,axial_center,0.02051025512756378,430.1059196667587,999879.8089014225,1.9520649141895619,5.924918869977913,0.02748965471793118
0,axial_center,0.02151075537768884,430.10182084889925,999873.9480390669,1.94974225502301,5.921360028334468,0.028853309698243533
0,axial_center,0.022511255627813906,430.09752712655137,999868.087458127,1.9474230190987825,5.917807324642123,0.030215312012215678
0,axial_center,0.023511755877938967,430.093122627126,999862.2271598302,1.9451068416870507,5.914259375913191,0.03157554615360328
0,axial_center,0.02451225612806403,430.0886586423965,999856.3671444438,1.942793510444032,5.910715140217828,0.03293385018536161
0,axial_center,0.025512756378189092,430.08416601596565,999850.5074115846,1.9404829248773479,5.907173740875132,0.03428999406107395
0,axial_center,0.026513256628314157,430.0796640866509,999844.6479603894,1.9381750813366991,5.903634356711601,0.03564365374431433
0,axial_center,0.027513756878439218,430.07516645394605,999838.7887895884,1.9358700818094783,5.900096171519336,0.036994380443308585
0,axial_center,0.028514257128564282,430.0706843663258,999832.9298975175,1.9335681634057924,5.896558372256869,0.03834156451694255
0,axial_center,0.02951475737868934,430.06622855140813,999827.0712820917,1.9312697459010988,5.893020187927746,0.039684393984165
0,axial_center,0.030515257628814404,430.06181011746423,999821.2129407587,1.928975495647906,5.889480965218735,0.041021808095732595
0,axial_center,0.03151575787893947,430.0574409383707,999815.3548704415,1.9266864048119887,5.885940280618344,0.04235244710943462
0,axial_center,0.03251625812906453,430.05313376255646,999809.4970674765,1.9244038848613585,5.882398090799681,0.043674600267734114
0,axial_center,0.0335167583791896,430.0489021738154,999803.6395275497,1.9221298724176983,5.878854923125982,0.044986154988083504
0,axial_center,0.03451725862931466,430.04476046630384,999797.7822456356,1.9198669439425873,5.875312105994353,0.04628455138353056
0,axial_center,0.03551775887943971,430.0407234614572,999791.9252159398,1.9176184333682325,5.8717720343306326,0.047566747304826365
0,axial_center,0.03651825912956478,430.03680627799923,999786.0684318485,1.9153885439111689,5.868238459071711,0.04882919994997493
0,axial_center,0.03751875937968984,430.0330240595023,999780.211885889,1.913182442330337,5.864716781536921,0.05006787048589747
0,axial_center,0.03851925962981491,430.02939166255754,999774.3555697006,1.911006321375047,5.861214325296975,0.051278257829384735
0,axial_center,0.03951975987993997,430.0259233102293,999768.4994740253,1.9088674148011577,5.857740551065553,0.052455466542933385
0,axial_center,0.04052026013006503,430.0226322188693,999762.643588715,1.9067739497911902,5.854307176070809,0.053594311626709724
0,axial_center,0.04152076038019009,430.0195302107323,999756.7879027638,1.904735024408554,5.850928160018268,0.05468945989808741
0,axial_center,0.04252126063031515,430.016627329379,999750.9324043647,1.9027604030271192,5.847619526304763,0.05573560389803346
0,axial_center,0.04352176088044022,430.013931478781,999745.0770809945,1.9008602302342326,5.84439899983954,0.05672766027551074
0,axial_center,0.04452226113056528,430.0114481094803,999739.2219195253,1.8990446727495196,5.841285460769002,0.05766098092473345
0,axial_center,0.04552276138069034,430.00917997546657,999733.3669063619,1.8973235082596487,5.838298234518389,0.058531562367306826
0,axial_center,0.0465232616308154,430.0071269831028,999727.5120276021,1.8957056883335148,5.835456259904269,0.059336237488951116
0,axial_center,0.047523761880940464,430.0052861484591,999721.6572692138,1.894198908361896,5.832777195291532,0.0600728340907656
